N	U
2	15
2	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	30
3	30
3	30
3	30
3	30
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	30
4	30
4	30
